"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\alojamiento\alojamiento.component.ts", "TypeScript", 0, 0, 0, 202, 0, 0, 0, 0, 0, 1, 25, 228
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\search-result-alojamiento\search-result-alojamiento.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\search-result-alojamiento\search-result-alojamiento.component.html", "HTML", 0, 0, 0, 0, 100, 0, 0, 0, 0, 8, 1, 109
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\search-result-alojamiento\search-result-alojamiento.component.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 108, 9, 170
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\turismo\turismo.component.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\turismo\turismo.component.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\turismo\turismo.component.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 2, 5, 89
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\vuelo\vuelo.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\vuelo\vuelo.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\vuelo\vuelo.component.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 13, 15, 102
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\servicio-home.service.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\services\payment-stripe.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\serviciosPayments\offers\offers.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\serviciosPayments\offers\offers.component.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\serviciosPayments\offers\offers.component.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\serviciosPayments\payments\payments.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\serviciosPayments\payments\payments.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\serviciosPayments\payments\payments.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\shared\input-number\input-number.component.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\shared\input-number\input-number.component.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\shared\input-number\input-number.component.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\aire-libre.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
